PART,DESCRIPTION,PRICE,AMOUNT,RUNNING PRICE,LINK
m3 Hex nut,so the fan stays in place,1.09,1,0,https://s.click.aliexpress.com/e/_Ewk2ZfA
m3 screws/heat inserts ,keep case together(already owned),0,0,1.09,
dc female connector,power it,0.56,1,1.09,https://a.aliexpress.com/_EIAeY6Y
12v dc power jack,"power it, already owned",0,0,1.65,
12v fan,"pc case fan, what makes it work",4.72,1,1.65,https://s.click.aliexpress.com/e/_EvU4etQ
fan controller,change speed of fan,1.31,1,6.37,https://s.click.aliexpress.com/e/_EHnn6cc
carbon filter,filter the air,2.89,1,7.68,https://s.click.aliexpress.com/e/_EvQUew0
3d printed case,the case,0,0,10.57,
POUND,,,,10.57,
DOLLAR,,,,14.3752,

